CountyCode,log_permil
48095,3.7053359617798494
13319,3.3286203896345614
45017,2.870163533352486
47015,2.307775846640634
16059,2.0829314954579647
38083,2.023439351564551
30107,2.0225887300870533
20159,1.991125460631268
29131,1.8727843664088986
41013,1.750912859626138
51163,1.7196099850891486
37123,1.616053953143496
31041,1.4264684174492912
40149,1.4124199147737193
42035,1.411886135599155
08093,1.4055645587533308
39117,1.2311156384812034
17021,1.0791398479303336
27001,0.5860239337117265
36053,0.4948709579527798
22125,0.4047696977880672
54097,0.3212591331698003
46117,0.2900181322493288
23021,0.2671073131420669
21093,0.2658646694572599
01001,0.1898242586706622
41031,0.11913009638158327
56013,0.1117512634246646
53037,-0.16609410986472786
16087,-0.37372869850455986
35053,-0.5322152264444612
18063,-0.5791693957445408
49039,-0.6732505488454888
21213,-0.6977476930666232
31043,-0.7161310169503207
19169,-0.7689758936117338
17077,-0.817235085018688
32023,-0.8265502754809854
47037,-0.8937675500804428
41041,-0.922712175466168
41003,-0.9964453214005716
28121,-1.0231700935012513
31013,-1.0290835593492773
32015,-1.047669809930535
13031,-1.0556780221361752
11001,-1.1301843615368494
56025,-1.1368339822574227
37099,-1.1784419558986632
36061,-1.1801673327630366
54061,-1.184617951763685
46027,-1.2588870352033281
28105,-1.2696200855617907
28071,-1.2771489138590926
48383,-1.2831536022003773
55073,-1.2988135865111463
25019,-1.3000099925228783
21227,-1.3062001815334627
18035,-1.3161747029734885
08065,-1.337366687496467
41047,-1.3637038979295273
41001,-1.3899750789594634
50017,-1.4185886694908014
17151,-1.4247936602705005
21033,-1.4325416122852104
38069,-1.4509110042058628
56031,-1.4678743481123135
31067,-1.4724261847491777
47165,-1.4797347229501905
34009,-1.5033363815515548
19073,-1.5052988726929548
29051,-1.505788350560381
21047,-1.5089405524422619
41051,-1.513835189843307
20161,-1.5225583449390356
31081,-1.5245334053436563
40151,-1.5261649932402788
56039,-1.5343263599389718
21145,-1.537819147324647
31179,-1.5438321553361065
56009,-1.5539956721842907
31079,-1.55741560744361
41053,-1.5713450336247305
06075,-1.5821264266596073
17127,-1.5863739728355486
45043,-1.6324868985875165
21037,-1.6337076714068386
37055,-1.6366082890672131
31109,-1.641056081396762
13121,-1.6476194290349415
22061,-1.6686497720659466
22071,-1.67951330280883
20005,-1.6974487897568138
51580,-1.7080154757950943
16065,-1.7188815095295331
41043,-1.7199135055676023
35051,-1.7219627032759448
51003,-1.7272490178719624
13059,-1.7349245324755163
31059,-1.7439688053917066
47189,-1.7532069385882108
47107,-1.7702331349800273
29053,-1.7756300872981714
29021,-1.7798892966575677
